objectid,filename,title,description,creator,source,publisher,date,contributor,rights,language,type,format,original-identifier,identifier
mascots001,1907-Sr-Book.jpg,Punch the dog,"Simmons' first mascot, Punch the dog, posed with 1907 sign","Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",Simmons Senior Book (1907),1907,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image,image/jpg,"Simmons Senior Book, 1907",1907-Sr-Book
mascots002,APC001_04919.jpg,Unidentified students posed with Teddy Bear mascot and Class of 1916 banner,Unidentified students posed with teddy bear (Class of 1916's mascot) and Class of 1916 banner,"Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",,1916,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image,image/jpg,APC001_04919,APC001_04919
mascots003,1917-Microcosm.jpg,O Campbell Kid,"Poem dedicated to the Campbell Kid, Class of 1917 mascot","Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",Microcosm (1917),1917,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,text,image/jpg,"Microcosm (1917), p. 231.",1917-Microcosm
mascots004,MSP047_121.jpg,Students with Campbell Kid,Students posed with Kewpie and Campbell Kid (Class of 1916 mascot) dolls during track meet,"Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",,1914,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image,image/jpg,MSP047_121,MSP047_121
mascots005,MSP020_007.jpg,"Helen Fowler ('19), Mary Russell ('19), Evelyn Wallis ('19), and Gertrude Neff ('19) with Spearmint Doll at Freshman Frolic","Helen Fowler ('19), Mary Russell ('19), Evelyn Wallis ('19), and Gertrude Neff ('19) with Spearmint Doll at Freshman Frolic","Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",,c. 1919,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image,image/jpg,MSP020_007,MSP020_007
mascots006,1920-Microcosm.jpg,Ceramic mascot dolls posed together,Ceramic mascot dolls posed together,"Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",Microcosm (1920),1920,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image/text,image/jpg,"Microcosm (1920), p. 45",1920-Microcosm
mascots007,1919-Microcosm-1.jpg,Ceramic doll mascot,Illustration of ceramic doll (Class of 1920 mascot),"Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",Microcosm (1919),1919,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image/text,image/jpg,"Microcosm (1919), p. 111",1919-Microcosm-1
mascots008,1919-Microcosm-2.jpg,Wooden doll mascot,Illustrated wooden doll (Class of 1921 mascot),"Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",Microcosm (1919),1919,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image/text,image/jpg,"Microcosm (1919), p. 117",1919-Microcosm-2
mascots009,1919-Microcosm-3.jpg,Portrait of Philippe Andre Chambart,Portrait of Philippe Andre Chambart (Class of 1922 mascot),"Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",Microcosm (1919),1919,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image/text,image/jpg,"Microcosm (1919), p. 123",1919-Microcosm-3
mascots010,Microcosm-1921-Class-of-1923.jpg,Parrot,Illustration of parrot (Class of 1923 mascot),"Simmons College (Boston, Mass.)","Simmons University Archives (Boston, Mass.)",Microcosm (1921),1921,,"Images from the Simmons University Archives collections are made available for study purposes only. For more information, or to request rights to reproduce or reuse any images, contact the University Archives at archives@simmons.edu.",eng,image/text,image/jpg,"Microcosm (1921), p. 115",Microcosm-1921-Class-of-1923
